31e104dd-d685-11e6-82b5-3497f68b8eda,AmBisome,restricted,"Intravenous: 1) Deoxycholate: Amphotericin B alone is insoluble in normal saline at a pH of 7. The original formulation used sodium deoxycholate to improve solubility. Amphotericin B deoxycholate (ABD) is administered IV, though with frequent adverse effects as detailed in the side effects section. As the original formulation of amphotericin, it is often referred to as ""conventional"" amphotericin. 2) Liposomal formulations: In order to improve the tolerability of amphotericin and reduce toxicity, several lipid formulations have been developed. From studies, it appears that liposomal amphotericin B preparations exhibit fewer side effects, while having similar efficacy. Various preparations have recently been introduced. All of these are more expensive than plain amphotericin B. AmBisome (LAMB) is a liposomal formulation of amphotericin B for injection, developed by NeXstar Pharmaceuticals (acquired by Gilead Sciences in 1999). It was approved by the FDA in 1997. It is marketed by Gilead in Europe and licensed to Astellas Pharma (formerly Fujisawa Pharmaceuticals) for marketing in the USA, and Sumitomo Pharmaceuticals in Japan. It consists of a mixture of phosphatidylcholine, cholesterol and distearoyl phosphatidylglycerol that in aqueous media they spontaneously arrange into unilamellar vesicles that contain amphotericin B. Liposomal formulations have been primarily used as it has been found to have less renal toxicity than deoxycholate. Guidelines also recommend the use of LAMB for CNS fungal infections due to better pharmacokinetics and CNS penetration but do note that this is based only on animal models. Fungisome is a generic liposomal complex of amphotericin B. It is marketed by Lifecare Innovations of India. 3) Lipid complex formulations: Amphotec (ABCD) and Abelcet (ABLC) are lipid complex preparations. Abelcet was approved by the FDA in 1995. It consists of amphotericin B and two lipids in a 1:1 ratio that form large ribbon-like structures. Amphotec is a complex of amphotericin and sodium cholesteryl sulfate in a 1:1 ratio. Two molecules of each form a tetramer that aggregate into spiral arms on a disk-like complex. It was approved by the FDA in 1996. Neither of these are true unilamellar liposomes like ambisome. Oral preparations: A major barrier to the use of amphotericin in resource-poor settings is that it must be given intravenously (except for topical applications). An oral preparation exists, but is not commercially available. The amphipathic nature of amphotericin along with its low solubility and permeability has posed major hurdles for oral administration given its low bioavailability. In the past it had been used for fungal infections of the surface of the GI tract such as thrush, but has been replaced by other antifungals such as nystatin and fluconazole. However, recently novel nanoparticulate drug delivery systems such as AmbiOnp, nanosuspensions, lipid-based drug delivery systems including cochleates, self-emulsifying drug delivery systems, solid lipid nanoparticles and polymeric nanoparticles〞such as Amphotericin B in pegylated polylactide coglycolide copolymer nanoparticles〞have demonstrated potential for oral formulation of amphotericin B",
31e12f96-d685-11e6-82b5-3497f68b8eda,Amikacin,restricted,"Amikacin is the preferred agent to treat all mycobacterial infections, except Mycobacterium chelonae. For M. chelonae infections, Tobramycin is the recommended aminoglycoside. Streptomycin is another aminoglycoside sometimes used to treat mycobacterial infections such as M. tuberculosis. Please contact the Antimicrobial Stewardship Program pharmacist for Tobramycin/Streptomycin dosing recommendation for this indication. Amikacin: Normal renal function: Once daily: 15 mg/kg IV Q24H (or 10 mg/kg IV Q24H if >50 years of age); Thrice weekly: 25 mg/kg IV three times a week (may be more difficult to tolerate). Abnormal renal function: Discuss with pharmacy clinical specialist. Therapeutic drug monitoring: Peak and trough not generally necessary, except in those with renal insufficiency (GFR <60 mL/min) and if SCr increases by 0.5 mg/dL or >30% from baseline while patient on aminoglycoside therapy. Check a trough concentration to monitor for toxicity. Peaks in the low 20 mcg/mL range are acceptable, and trough concentrations are preferably <4 mc/mL or undetectable.",
31e18cfb-d685-11e6-82b5-3497f68b8eda,Amoxicillin/clavulanate,unrestricted,"Amoxicillin/clavulanic acid is widely used to treat or prevent many infections caused by susceptible bacteria, such as: urinary tract infections, respiratory tract infections, skin and soft tissue infections, sinus infections, cat scratches, infections caused by the bacterial flora of the mouth, such as: dental infections, infected animal bites, infected human bites (including uncomplicated ""clenched-fist"" or ""reverse-bite"" injuries).",
31e197a0-d685-11e6-82b5-3497f68b8eda,Amoxycillin,unrestricted,"Amoxicillin is susceptible to degradation by 汕-lactamase-producing bacteria, which are resistant to a narrow spectrum of 汕-lactam antibiotics, such as penicillin. For this reason, it may be combined with clavulanic acid, a 汕-lactamase inhibitor. This drug combination is commonly called co-amoxiclav.",
31e1a17f-d685-11e6-82b5-3497f68b8eda,Amphotericin B deoxycholate,unrestricted,"Intravenous: 1) Deoxycholate: Amphotericin B alone is insoluble in normal saline at a pH of 7. The original formulation used sodium deoxycholate to improve solubility. Amphotericin B deoxycholate (ABD) is administered IV, though with frequent adverse effects as detailed in the side effects section. As the original formulation of amphotericin, it is often referred to as ""conventional"" amphotericin. 2) Liposomal formulations: In order to improve the tolerability of amphotericin and reduce toxicity, several lipid formulations have been developed. From studies, it appears that liposomal amphotericin B preparations exhibit fewer side effects, while having similar efficacy. Various preparations have recently been introduced. All of these are more expensive than plain amphotericin B. AmBisome (LAMB) is a liposomal formulation of amphotericin B for injection, developed by NeXstar Pharmaceuticals (acquired by Gilead Sciences in 1999). It was approved by the FDA in 1997. It is marketed by Gilead in Europe and licensed to Astellas Pharma (formerly Fujisawa Pharmaceuticals) for marketing in the USA, and Sumitomo Pharmaceuticals in Japan. It consists of a mixture of phosphatidylcholine, cholesterol and distearoyl phosphatidylglycerol that in aqueous media they spontaneously arrange into unilamellar vesicles that contain amphotericin B. Liposomal formulations have been primarily used as it has been found to have less renal toxicity than deoxycholate. Guidelines also recommend the use of LAMB for CNS fungal infections due to better pharmacokinetics and CNS penetration but do note that this is based only on animal models. Fungisome is a generic liposomal complex of amphotericin B. It is marketed by Lifecare Innovations of India. 3) Lipid complex formulations: Amphotec (ABCD) and Abelcet (ABLC) are lipid complex preparations. Abelcet was approved by the FDA in 1995. It consists of amphotericin B and two lipids in a 1:1 ratio that form large ribbon-like structures. Amphotec is a complex of amphotericin and sodium cholesteryl sulfate in a 1:1 ratio. Two molecules of each form a tetramer that aggregate into spiral arms on a disk-like complex. It was approved by the FDA in 1996. Neither of these are true unilamellar liposomes like ambisome. Oral preparations: A major barrier to the use of amphotericin in resource-poor settings is that it must be given intravenously (except for topical applications). An oral preparation exists, but is not commercially available. The amphipathic nature of amphotericin along with its low solubility and permeability has posed major hurdles for oral administration given its low bioavailability. In the past it had been used for fungal infections of the surface of the GI tract such as thrush, but has been replaced by other antifungals such as nystatin and fluconazole. However, recently novel nanoparticulate drug delivery systems such as AmbiOnp, nanosuspensions, lipid-based drug delivery systems including cochleates, self-emulsifying drug delivery systems, solid lipid nanoparticles and polymeric nanoparticles〞such as Amphotericin B in pegylated polylactide coglycolide copolymer nanoparticles〞have demonstrated potential for oral formulation of amphotericin B",
31e1ae23-d685-11e6-82b5-3497f68b8eda,Ampicillin,unrestricted,"It is active against many Gram-positive and Gram-negative bacteria. Ampicillin was the first 'broad spectrum' penicillin with activity against Gram-positive bacteria including Streptococcus pneumoniae, Streptococcus pyogenes, some isolates of Staphylococcus aureus (but not penicillin-resistant or methicillin-resistant strains), and some Enterococcus. Activity against Gram-negative bacteria includes Neisseria meningitidis, some Haemophilus influenzae, and some of the Enterobacteriaceae. Its spectrum of activity is enhanced by co-administration of sulbactam, a drug that inhibits beta lactamase, an enzyme produced by bacteria to inactivate ampicillin and related antibiotics. It is used for the treatment of infections known to be or highly likely to be caused by these bacteria. These include common respiratory infections including sinusitis, bronchitis, and pharyngitis, as well as otitis media. In combination with vancomycin (which provides coverage of ampicillin-resistant pneumococci), it is effective for the treatment of bacterial meningitis. It is also used for gastrointestinal infections caused by consuming contaminated water or food, such as Salmonella, Shigella, and Listeria. Ampicillin is a first-line agent for the treatment of infections caused by Enterococci. The bacteria are an important cause of healthcare-associated infections such as endocarditis, meningitis, and catheter-associated urinary tract infections that are typically resistant to other antibiotics.",
31e1d31c-d685-11e6-82b5-3497f68b8eda,Ampicillin IV,unrestricted,"It is active against many Gram-positive and Gram-negative bacteria. Ampicillin was the first 'broad spectrum' penicillin with activity against Gram-positive bacteria including Streptococcus pneumoniae, Streptococcus pyogenes, some isolates of Staphylococcus aureus (but not penicillin-resistant or methicillin-resistant strains), and some Enterococcus. Activity against Gram-negative bacteria includes Neisseria meningitidis, some Haemophilus influenzae, and some of the Enterobacteriaceae. Its spectrum of activity is enhanced by co-administration of sulbactam, a drug that inhibits beta lactamase, an enzyme produced by bacteria to inactivate ampicillin and related antibiotics. It is used for the treatment of infections known to be or highly likely to be caused by these bacteria. These include common respiratory infections including sinusitis, bronchitis, and pharyngitis, as well as otitis media. In combination with vancomycin (which provides coverage of ampicillin-resistant pneumococci), it is effective for the treatment of bacterial meningitis. It is also used for gastrointestinal infections caused by consuming contaminated water or food, such as Salmonella, Shigella, and Listeria. Ampicillin is a first-line agent for the treatment of infections caused by Enterococci. The bacteria are an important cause of healthcare-associated infections such as endocarditis, meningitis, and catheter-associated urinary tract infections that are typically resistant to other antibiotics.",
31e1dd61-d685-11e6-82b5-3497f68b8eda,Ampicillin/sulbactam,unrestricted,"Ampicillin/sulbactam has a wide array of medical use for many different types of infectious disease. It is usually reserved as a second-line therapy in cases where bacteria have become beta-lactamase resistant, rendering traditional penicillin-derived antibiotics ineffective. It is effective against certain gram positive bacteria, gram-negative bacteria, and anaerobe. Gram-positive bacteria: Staphylococcus Aureus (beta-lactamase and non-beta-lactamase producing), Staphylococcus epidermis (beta-lactamase and non-beta-lactamase producing), Staphylococcus saprophyticus (beta-lactamase and non-beta-lactamase producing), Streptococcus faecalis (Enterococcus), Streptococcus pneumonia, Streptococcus pyogenes, and Streptococcus viridians. Gram-negative bacteria: Hemophilus influenzae (beta-lactamase and non-beta-lactamase producing), Moraxella (Branhamella) catarrhalis (beta-lactamase and non-beta-lactamase producing), Escherichia coli (beta-lactamase and non-beta-lactamase producing), Klebsiella species (all known species are beta-lactamase producing), Proteus mirabilis (beta-lactamase and non-beta-lactamase producing), Proteus vulgaris, Providencia rettgeri, Providencia stuartii, Morganella morganii, and Neisseria gonorrhoeae (beta-lactamase and non-beta-lactamase producing). Anaerobes: Clostridium species, Peptococcus species, Peptostreptococcus species, Bacteroides species including B. fragilis. Gynecological Infections: Ampicillin/sulbactam can be used to treat gynecological infections caused by beta-lactamase producing strains of Escherichia coli, and Bacteroides (including B. fragilis). Bone and Joint infections: Ampicillin/sulbactam can be used in the treatment of bone and joint infections caused by susceptible beta-lactamase producing bacteria. Intra-abdominal infections: Ampicillin/sulbactam can be used to treat intra-abdominal infections caused by beta-lactamase producing strains of Escherichia coli, Klebsiella (including K. pneumonia), Bacteroides fragilis, and Enterobacter. Skin & skin structure Infections: This medication can be used to treat skin and skin structure infections caused from beta-lactamase-producing strains of Staphylococcus Aureus, Enterobacter, Escherichia coli, Klebsiella (including K. pneumonia), Proteus mirabilis, Bacteroides fragilis, and Acinetobacter calcoaceticus. Examples of skin conditions treated with ampicillin-sulbactam are moderate to severe diabetic foot infections and type 1 Necrotizing fasciitis, commonly referred to as ※flesh-eating bacteria§. The recommended adult dose of ampicillin/sulbactam is 1.5 grams (1g ampicillin sodium plus 0.5g sulbactam sodium) to 3.0 grams (2g ampicillin sodium plus 1g sulbactam sodium) every six hours. In pediatric patients, the dose is based on body weight and is recommended at 300 mg per kilogram of body weight per day. This total daily dose is to be divided into equal amounts to be given every six hours. In patients with decreased kidney function, the dosing frequency may need to be reduced.",
31e20ee0-d685-11e6-82b5-3497f68b8eda,Augmentin,unrestricted,Suspensions of amoxicillin/clavulanic acid are available for use in children. They must be refrigerated to maintain effectiveness.,
31e21856-d685-11e6-82b5-3497f68b8eda,Azithromycin,unrestricted,"Azithromycin is an acid-stable antibiotic, so it can be taken orally with no need of protection from gastric acids. It is readily absorbed, but absorption is greater on an empty stomach. Time to peak concentration (Tmax) in adults is 2.1 to 3.2 hours for oral dosage forms. Due to its high concentration in phagocytes, azithromycin is actively transported to the site of infection. During active phagocytosis, large concentrations are released. The concentration of azithromycin in the tissues can be over 50 times higher than in plasma due to ion trapping and its high lipid solubility. Azithromycin's half-life allows a large single dose to be administered and yet maintain bacteriostatic levels in the infected tissue for several days. Following a single dose of 500 mg, the apparent terminal elimination half-life of azithromycin is 68 hours. Biliary excretion of azithromycin, predominantly unchanged, is a major route of elimination. Over the course of a week, about 6% of the administered dose appears as unchanged drug in urine.",
